اسم الملف,معرف الحديث,وقت التوليد (ثانية),توكنز المدخلات,توكنز المخرجات
61.json,61,43.82,1576,687
62.json,62,48.35,1582,711
63.json,63,63.06,2722,737
64.json,64,49.22,1564,638
65.json,65,45.88,1699,725
66.json,66,125.37,2140,845
67.json,67,50.92,2044,733
68.json,68,57.50,1301,763
69.json,69,53.98,1815,1024
70.json,70,63.20,985,632
71.json,71,70.55,1888,843
72.json,72,37.75,2275,867
73.json,73,39.88,1474,758
74.json,74,59.40,3092,861
75.json,75,58.70,1649,766
76.json,76,58.84,1507,788
77.json,77,55.02,1317,718
78.json,78,52.20,1546,768
79.json,79,45.10,2167,862
80.json,80,57.98,1705,745
81.json,81,44.64,1771,702
82.json,82,30.68,1533,505
83.json,83,37.81,1953,745
84.json,84,39.67,1627,715
85.json,85,60.78,1649,646
86.json,86,45.64,3178,794
88.json,88,51.90,1784,555
89.json,89,67.53,2328,833
90.json,90,36.68,2034,913
91.json,91,76.20,2415,901
92.json,92,61.29,1868,893
94.json,94,48.67,1591,624
95.json,95,45.20,1600,744
96.json,96,88.92,1826,1106
97.json,97,64.66,2191,829
98.json,98,33.40,1071,468
99.json,99,46.66,2208,890
100.json,100,41.06,1557,795
101.json,101,46.80,2159,780
102.json,102,60.62,1848,813
103.json,103,55.37,2069,809
104.json,104,59.91,3395,773
106.json,106,38.42,1507,682
107.json,107,88.10,2710,999
108.json,108,66.52,2656,1114
109.json,109,59.03,2606,1022
110.json,110,62.78,2673,941
111.json,111,62.80,2105,680
113.json,113,53.69,2149,761
114.json,114,93.12,2757,975
115.json,115,63.44,2064,860
116.json,116,48.64,1401,579
117.json,117,51.57,2217,777
118.json,118,45.56,2003,817
119.json,119,48.42,1550,662
120.json,120,63.63,1773,810
121.json,121,49.25,1495,685
122.json,122,73.24,5805,948
123.json,123,51.98,1562,717
124.json,124,65.70,1739,837
125.json,125,53.99,1817,675
126.json,126,60.37,1768,717
127.json,127,87.22,1269,755
128.json,128,63.06,2293,823
129.json,129,49.53,1524,545
130.json,130,44.77,2010,742
131.json,131,57.46,2156,795
132.json,132,46.19,1703,778
133.json,133,43.46,1848,666
134.json,134,41.02,1868,754
1_134.json,1/134,51.65,1545,597
135.json,135,39.04,1567,618
136.json,136,33.23,1678,589
137.json,137,47.99,1520,659
138.json,138,45.06,2474,717
139.json,139,48.06,2652,685
140.json,140,89.10,2230,975
141.json,141,64.52,1354,741
143.json,143,58.97,1630,946
144.json,144,78.94,2051,612
145.json,145,37.72,2551,728
146.json,146,47.70,2264,780
147.json,147,51.75,1590,568
148.json,148,32.78,2372,797
149.json,149,73.97,2362,960
150.json,150,26.94,1607,673
151.json,151,42.27,1583,657
152.json,152,49.07,1592,640
153.json,153,57.32,1427,636
155.json,155,34.98,1730,788
156.json,156,53.65,1595,772
157.json,157,47.03,1249,529
158.json,158,50.53,1640,781
159.json,159,54.25,1189,798
160.json,160,67.99,1605,924
161.json,161,63.63,1442,789
163.json,163,49.66,1814,955
164.json,164,48.84,2281,798
165.json,165,60.11,1789,811
166.json,166,96.18,3172,1290
