اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
الإجمالي (للملفات الجديدة),9,64376,6812,496.39,143.41,55.15
324.json,1,2763,932,86.36,42.79,86.36
351.json,1,2411,943,52.28,64.16,52.28
352.json,1,2798,779,44.77,79.9,44.77
353.json,1,2727,958,69.07,53.36,69.07
354.json,1,1283,600,43.55,43.23,43.55
355.json,1,1380,606,36.26,54.77,36.26
356.json,1,1313,655,47.08,41.8,47.08
358.json,1,1392,639,47.96,42.34,47.96
359.json,1,1329,588,39.12,49.0,39.12
360.json,1,1301,677,46.06,42.95,46.06
361.json,1,1975,797,52.22,53.09,52.22
362.json,1,1514,831,67.85,34.56,67.85
363.json,1,1689,814,62.0,40.37,62.0
365.json,1,2235,692,51.87,56.43,51.87
366.json,1,2487,776,67.96,48.01,67.96
367.json,1,893,680,56.54,27.82,56.54
368.json,1,2377,702,44.49,69.2,44.49
370.json,1,2812,748,74.58,47.73,74.58
371.json,1,3741,620,49.73,87.7,49.73
372.json,1,1474,674,77.67,27.65,77.67
373.json,1,1725,842,63.51,40.42,63.51
374.json,1,1439,614,40.03,51.28,40.03
375.json,1,1468,652,50.37,42.08,50.37
376.json,1,2027,752,43.02,64.59,43.02
377.json,1,1950,732,44.18,60.7,44.18
378.json,1,2214,978,66.12,48.28,66.12
379.json,1,1375,638,49.93,40.31,49.93
380.json,1,1784,768,48.0,53.17,48.0
381.json,1,1348,528,41.26,45.47,41.26
382.json,1,1419,729,50.97,42.14,50.97
383.json,1,1260,589,35.68,51.82,35.68
384.json,1,1378,608,43.31,45.85,43.31
385.json,1,1351,664,46.86,43.0,46.86
386.json,1,1399,490,32.11,58.83,32.11
387.json,1,1726,839,51.69,49.63,51.69
388.json,1,1527,794,65.18,35.61,65.18
391.json,1,1909,654,55.3,46.35,55.3
392.json,1,1737,816,62.02,41.16,62.02
393.json,1,2085,755,68.78,41.29,68.78
394.json,1,2140,790,66.66,43.96,66.66
395.json,1,1814,709,47.09,53.57,47.09
398.json,1,1656,667,40.81,56.92,40.81
399.json,1,2302,829,59.59,52.54,59.59
401.json,1,2294,800,68.32,45.29,68.32
402.json,1,3193,849,61.76,65.45,61.76
403.json,1,1938,688,56.02,46.87,56.02
404.json,1,1564,771,71.19,32.8,71.19
405.json,1,1858,706,56.42,45.44,56.42
406.json,1,1749,1006,75.09,36.69,75.09
408.json,1,1762,827,73.1,35.42,73.1
410.json,1,1785,700,53.6,46.36,53.6
412.json,1,1684,744,59.42,40.86,59.42
413.json,1,1713,739,63.58,38.57,63.58
415.json,1,1333,637,46.1,42.73,46.1
416.json,1,1541,832,61.87,38.36,61.87
417.json,1,1854,644,61.16,40.84,61.16
419.json,1,1736,609,58.92,39.8,58.92
420.json,1,1748,761,54.29,46.22,54.29
422.json,1,2768,700,51.31,67.59,51.31
423.json,1,2889,855,54.65,68.51,54.65
424.json,1,3393,740,34.18,120.92,34.18
425.json,1,4098,789,47.8,102.23,47.8
426.json,1,1562,671,42.41,52.65,42.41
427.json,1,1833,709,36.04,70.53,36.04
430.json,1,1547,731,41.26,55.2,41.26
431.json,1,2885,1187,63.26,64.37,63.26
432.json,1,1342,769,45.46,46.44,45.46
433.json,1,1737,587,32.27,72.03,32.27
434.json,1,1872,752,43.81,59.9,43.81
435.json,1,1601,652,55.1,40.89,55.1
437.json,1,1311,643,40.73,47.97,40.73
439.json,1,2766,881,56.29,64.79,56.29
440.json,1,1521,716,44.19,50.62,44.19
441.json,1,2145,777,39.96,73.11,39.96
442.json,1,1647,597,35.48,63.25,35.48
443.json,1,1841,666,44.11,56.83,44.11
444.json,1,1183,726,65.26,29.25,65.26
445.json,1,1730,758,42.35,58.75,42.35
446.json,1,1904,612,35.37,71.14,35.37
448.json,1,1352,760,53.55,39.44,53.55
449.json,1,1394,634,37.79,53.66,37.79
450.json,1,1766,672,39.09,62.37,39.09
451.json,1,1468,818,50.89,44.92,50.89
452.json,1,1450,718,40.6,53.4,40.6
453.json,1,1896,609,44.97,55.7,44.97
454.json,1,1410,734,40.43,53.03,40.43
455.json,1,1344,734,42.39,49.02,42.39
456.json,1,2468,685,49.25,64.02,49.25
457.json,1,1766,819,52.41,49.32,52.41
459.json,1,1981,680,38.89,68.43,38.89
461.json,1,1843,820,55.79,47.73,55.79
462.json,1,1157,589,35.15,49.68,35.15
463.json,1,3226,629,49.8,77.41,49.8
466.json,1,3041,807,51.49,74.74,51.49
467.json,1,2919,804,50.71,73.42,50.71
468.json,1,2040,657,41.81,64.51,41.81
469.json,1,1039,612,29.42,56.11,29.42
470.json,1,1725,636,51.41,45.92,51.41
471.json,1,1840,736,35.23,73.12,35.23
